ticker,company_name,status,final_confidence,ml_score,violations
AALI_0,AALI Corp 0,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
AALI_1,AALI Corp 1,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
AALI_2,AALI Corp 2,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
AALI_3,AALI Corp 3,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
AALI_4,AALI Corp 4,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
AALI_5,AALI Corp 5,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
AALI_6,AALI Corp 6,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
AALI_7,AALI Corp 7,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
AALI_8,AALI Corp 8,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
AALI_9,AALI Corp 9,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
AALI_10,AALI Corp 10,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
AALI_11,AALI Corp 11,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
AALI_12,AALI Corp 12,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
AALI_13,AALI Corp 13,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
AALI_14,AALI Corp 14,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
AALI_15,AALI Corp 15,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ANTM_0,ANTM Corp 0,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ANTM_1,ANTM Corp 1,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ANTM_2,ANTM Corp 2,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ANTM_3,ANTM Corp 3,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ANTM_4,ANTM Corp 4,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ANTM_5,ANTM Corp 5,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ANTM_6,ANTM Corp 6,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ANTM_7,ANTM Corp 7,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ANTM_8,ANTM Corp 8,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ANTM_9,ANTM Corp 9,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ANTM_10,ANTM Corp 10,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ANTM_11,ANTM Corp 11,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ANTM_12,ANTM Corp 12,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ANTM_13,ANTM Corp 13,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ANTM_14,ANTM Corp 14,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ANTM_15,ANTM Corp 15,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ASII_0,ASII Corp 0,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ASII_1,ASII Corp 1,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ASII_2,ASII Corp 2,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ASII_3,ASII Corp 3,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ASII_4,ASII Corp 4,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ASII_5,ASII Corp 5,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ASII_6,ASII Corp 6,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ASII_7,ASII Corp 7,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ASII_8,ASII Corp 8,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ASII_9,ASII Corp 9,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ASII_10,ASII Corp 10,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ASII_11,ASII Corp 11,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ASII_12,ASII Corp 12,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ASII_13,ASII Corp 13,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ASII_14,ASII Corp 14,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
ASII_15,ASII Corp 15,NON_COMPLIANT,1.0,,EXCESSIVE_DEBT
BBCA_0,BBCA Corp 0,NON_COMPLIANT,1.0,,HARAM_SECTOR
BBCA_1,BBCA Corp 1,NON_COMPLIANT,1.0,,HARAM_SECTOR
BBCA_2,BBCA Corp 2,NON_COMPLIANT,1.0,,HARAM_SECTOR
BBCA_3,BBCA Corp 3,NON_COMPLIANT,1.0,,HARAM_SECTOR
